time,month_x,sst,year_x,ElNiño,LaNiña,Neutral,year_y,month_y,precipitation,max_temp,min_temp
1993-12-01,12,0.1770432,1993,,,0.1770432,1993,12,0.0,33.13548387096775,19.97741935483871
1994-01-01,1,0.08907205,1994,,,0.08907205,1994,1,0.03870967741935484,34.05483870967742,21.39032258064516
1994-02-01,2,0.11652748,1994,,,0.11652748,1994,2,0.3464285714285714,34.982142857142854,22.510714285714283
1994-03-01,3,0.16911194,1994,,,0.16911194,1994,3,0.6193548387096774,34.79677419354839,21.65806451612903
1994-04-01,4,0.26989526,1994,,,0.26989526,1994,4,0.03666666666666667,34.21333333333334,21.52
1994-05-01,5,0.29341584,1994,,,0.29341584,1994,5,0.02258064516129032,33.23870967741936,19.783870967741933
1994-06-01,6,0.25052333,1994,,,0.25052333,1994,6,0.0,30.376666666666665,17.756666666666668
1994-07-01,7,0.32691586,1994,,,0.32691586,1994,7,0.0,28.68064516129032,16.55806451612903
1994-08-01,8,0.32602376,1994,,,0.32602376,1994,8,0.0,29.95483870967742,16.416129032258066
1994-09-01,9,0.53148454,1994,0.53148454,,,1994,9,0.01,31.06,17.35
1994-10-01,10,0.734221,1994,0.734221,,,1994,10,0.0,31.24516129032258,17.509677419354837
1994-11-01,11,1.056503,1994,1.056503,,,1994,11,0.0,31.753333333333334,18.64
1994-12-01,12,1.0954154,1994,1.0954154,,,1994,12,0.21290322580645163,32.851612903225806,20.861290322580647
1995-01-01,1,0.96262443,1995,0.96262443,,,1995,1,0.0,34.57419354838709,23.02258064516129
1995-02-01,2,0.6699213,1995,0.6699213,,,1995,2,0.075,34.54642857142857,22.70357142857143
1995-03-01,3,0.46930778,1995,,,0.46930778,1995,3,0.05806451612903226,34.87096774193548,21.641935483870967
1995-04-01,4,0.20504907,1995,,,0.20504907,1995,4,0.0,34.04965517241379,19.948275862068964
1995-05-01,5,0.0034255385,1995,,,0.0034255385,1995,5,0.0,32.15483870967742,18.93548387096774
1995-06-01,6,-0.11033818,1995,,,-0.11033818,1995,6,0.0,30.926666666666666,18.136666666666667
1995-07-01,7,-0.2587008,1995,,,-0.2587008,1995,7,0.0,28.693548387096776,17.458064516129035
1995-08-01,8,-0.4017861,1995,,,-0.4017861,1995,8,0.0,28.88064516129032,16.496774193548386
1995-09-01,9,-0.65704536,1995,,-0.65704536,,1995,9,0.0,30.076666666666664,16.693333333333335
1995-10-01,10,-0.7683469,1995,,-0.7683469,,1995,10,0.0,30.506451612903227,17.325806451612905
1995-11-01,11,-0.8412759,1995,,-0.8412759,,1995,11,0.04,31.703333333333333,18.416666666666668
1995-12-01,12,-0.8074967,1995,,-0.8074967,,1995,12,0.0,32.66451612903226,18.38064516129032
1996-02-01,2,-0.669466,1996,,-0.669466,,1996,2,0.006896551724137932,35.341379310344834,21.917241379310347
1996-03-01,3,-0.5246777,1996,,-0.5246777,,1996,3,0.04193548387096774,33.99354838709677,22.112903225806452
1996-04-01,4,-0.39912102,1996,,,-0.39912102,1996,4,0.0,32.43666666666667,19.576666666666664
1996-05-01,5,-0.31132856,1996,,,-0.31132856,1996,5,0.0,31.074193548387097,17.654838709677417
1996-06-01,6,-0.278002,1996,,,-0.278002,1996,6,0.0033333333333333335,28.509999999999998,16.81
1996-07-01,7,-0.23893243,1996,,,-0.23893243,1996,7,0.0,28.26451612903226,15.061290322580644
1996-08-01,8,-0.24259648,1996,,,-0.24259648,1996,8,0.0,29.1,15.612903225806452
1996-09-01,9,-0.32295027,1996,,,-0.32295027,1996,9,0.0,29.759999999999998,15.97
1996-10-01,10,-0.33365607,1996,,,-0.33365607,1996,10,0.09032258064516129,29.929032258064513,16.83225806451613
1996-11-01,11,-0.40774363,1996,,,-0.40774363,1996,11,0.0,30.316666666666666,17.07
1996-12-01,12,-0.43599838,1996,,,-0.43599838,1996,12,0.0,32.41379310344828,18.106896551724137
1997-01-01,1,-0.4533388,1997,,,-0.4533388,1997,1,0.0,34.5,19.603225806451615
1997-02-01,2,-0.35850367,1997,,,-0.35850367,1997,2,0.4107142857142857,36.24285714285714,21.917857142857144
1997-03-01,3,-0.15515202,1997,,,-0.15515202,1997,3,0.8064516129032258,34.093548387096774,22.861290322580647
1997-04-01,4,0.14569432,1997,,,0.14569432,1997,4,0.4633333333333333,32.27,22.136666666666667
1997-05-01,5,0.5770688,1997,0.5770688,,,1997,5,0.0,32.60967741935484,22.483870967741936
1997-06-01,6,1.0482044,1997,1.0482044,,,1997,6,0.0,31.009999999999998,21.69333333333333
1997-07-01,7,1.4631848,1997,1.4631848,,,1997,7,0.0,30.664516129032258,21.14516129032258
1997-08-01,8,1.7648032,1997,1.7648032,,,1997,8,0.0,30.016129032258064,21.40967741935484
1997-09-01,9,1.9890659,1997,1.9890659,,,1997,9,0.0,30.993333333333332,22.136666666666667
1997-10-01,10,2.1688623,1997,2.1688623,,,1997,10,0.27096774193548384,30.6,20.796774193548387
1997-11-01,11,2.273624,1997,2.273624,,,1997,11,0.060000000000000005,31.26,22.566666666666666
1997-12-01,12,2.2860277,1997,2.2860277,,,1997,12,6.429032258064517,33.81935483870968,24.203225806451613
1998-01-01,1,2.1149712,1998,2.1149712,,,1998,1,17.677419354838708,33.932258064516134,24.664516129032258
1998-02-01,2,1.8023777,1998,1.8023777,,,1998,2,15.521428571428572,34.278571428571425,25.099999999999998
1998-03-01,3,1.301333,1998,1.301333,,,1998,3,21.980645161290322,33.90967741935484,24.761290322580646
1998-04-01,4,0.88884085,1998,0.88884085,,,1998,4,2.02,33.46666666666667,23.86
1998-05-01,5,0.22169575,1998,,,0.22169575,1998,5,1.1,31.14516129032258,22.448387096774194
1998-06-01,6,-0.38180733,1998,,,-0.38180733,1998,6,0.09000000000000001,31.053333333333335,20.183333333333334
1998-07-01,7,-0.9983326,1998,,-0.9983326,,1998,7,0.0032258064516129032,31.529032258064515,18.980645161290322
1998-08-01,8,-1.1241709,1998,,-1.1241709,,1998,8,0.0,29.861290322580647,17.674193548387095
1998-09-01,9,-1.1795672,1998,,-1.1795672,,1998,9,0.0,30.23,18.06
1998-10-01,10,-1.1741477,1998,,-1.1741477,,1998,10,0.04516129032258064,30.216129032258067,18.187096774193545
1998-11-01,11,-1.3983377,1998,,-1.3983377,,1998,11,0.03333333333333333,31.18,18.166666666666668
1998-12-01,12,-1.4889317,1998,,-1.4889317,,1998,12,0.009677419354838712,32.9741935483871,18.42258064516129
1999-01-01,1,-1.4417434,1999,,-1.4417434,,1999,1,0.25806451612903225,34.74193548387097,19.9741935483871
1999-02-01,2,-1.1388073,1999,,-1.1388073,,1999,2,4.671428571428572,33.503571428571426,22.914285714285715
1999-04-01,4,-0.8039191,1999,,-0.8039191,,1999,4,0.5833333333333334,33.71666666666667,21.003333333333334
1999-05-01,5,-0.8396158,1999,,-0.8396158,,1999,5,0.14838709677419357,30.893548387096775,18.674193548387095
1999-06-01,6,-0.8554923,1999,,-0.8554923,,1999,6,0.06666666666666667,29.276666666666664,17.64333333333333
1999-07-01,7,-0.9846207,1999,,-0.9846207,,1999,7,0.0,29.041935483870965,16.72258064516129
1999-08-01,8,-1.0069766,1999,,-1.0069766,,1999,8,0.0,29.683870967741935,16.990322580645163
1999-09-01,9,-1.0715194,1999,,-1.0715194,,1999,9,0.006666666666666667,30.33,16.74
1999-10-01,10,-1.1794032,1999,,-1.1794032,,1999,10,0.07096774193548387,31.01290322580645,17.229032258064517
1999-11-01,11,-1.381994,1999,,-1.381994,,1999,11,0.0,31.0,17.796666666666667
1999-12-01,12,-1.5941639,1999,,-1.5941639,,1999,12,0.17419354838709675,31.683870967741935,19.05806451612903
2000-01-01,1,-1.5935224,2000,,-1.5935224,,2000,1,0.05806451612903226,34.07096774193548,19.838709677419356
2000-02-01,2,-1.4085196,2000,,-1.4085196,,2000,2,0.43448275862068964,35.47241379310345,21.658620689655173
2000-03-01,3,-1.077402,2000,,-1.077402,,2000,3,0.267741935483871,34.96774193548387,21.835483870967742
2000-04-01,4,-0.85419196,2000,,-0.85419196,,2000,4,1.3066666666666669,34.053333333333335,21.490000000000002
2000-05-01,5,-0.6798868,2000,,-0.6798868,,2000,5,0.6870967741935484,31.6,19.206451612903226
2000-06-01,6,-0.63227826,2000,,-0.63227826,,2000,6,0.02666666666666667,28.016666666666666,18.246666666666666
2000-07-01,7,-0.49429354,2000,,,-0.49429354,2000,7,0.0,28.135483870967743,17.05483870967742
2000-08-01,8,-0.48059392,2000,,,-0.48059392,2000,8,0.0,29.503225806451614,17.448387096774194
2000-09-01,9,-0.48430866,2000,,,-0.48430866,2000,9,0.0,29.55666666666667,17.433333333333334
2000-10-01,10,-0.5972978,2000,,-0.5972978,,2000,10,0.0,30.26774193548387,17.438709677419357
2000-11-01,11,-0.76953363,2000,,-0.76953363,,2000,11,0.0,29.876666666666665,16.706666666666667
2000-12-01,12,-0.8023592,2000,,-0.8023592,,2000,12,0.5483870967741935,31.212903225806453,19.716129032258067
2001-01-01,1,-0.72236216,2001,,-0.72236216,,2001,1,0.25483870967741934,33.71290322580646,21.164516129032258
