,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
2003-04-30,1768.56005859375,1768.56005859375,1773.010009765625,1760.9599609375,1768.8599853515625,0.0,
2003-05-31,1808.3399658203125,1808.3399658203125,1812.280029296875,1805.3900146484375,1807.3399658203125,0.0,
2003-06-30,1824.8800048828125,1824.8800048828125,1826.449951171875,1819.3299560546875,1825.4200439453125,0.0,
2003-07-31,1850.1700439453125,1850.1700439453125,1852.22998046875,1841.760009765625,1849.27001953125,0.0,
2003-08-31,1896.8199462890625,1896.8199462890625,1896.8199462890625,1884.5999755859375,1888.280029296875,0.0,
2003-09-30,1980.8299560546875,1980.8299560546875,1987.8399658203125,1977.6800537109375,1987.2900390625,0.0,
2003-10-31,2109.179931640625,2109.179931640625,2130.590087890625,2109.179931640625,2119.9599609375,0.0,
2003-11-30,2151.179931640625,2151.179931640625,2151.300048828125,2142.89990234375,2148.429931640625,0.0,
2003-12-31,2435.0400390625,2435.0400390625,2466.510009765625,2435.0400390625,2452.409912109375,0.0,
2004-01-31,2730.0,2730.0,2733.510009765625,2705.639892578125,2719.60009765625,0.0,
2004-02-29,2748.110107421875,2748.110107421875,2748.110107421875,2735.659912109375,2739.489990234375,0.0,
2004-03-31,3035.719970703125,3035.719970703125,3035.719970703125,2986.090087890625,2986.610107421875,0.0,
2004-04-30,2827.340087890625,2827.340087890625,2844.31005859375,2827.340087890625,2841.419921875,0.0,
2004-05-31,2914.510009765625,2914.510009765625,2922.60009765625,2906.050048828125,2906.969970703125,0.0,
2004-06-30,2885.89990234375,2885.89990234375,2889.39990234375,2880.260009765625,2880.260009765625,0.0,
2004-07-31,2825.449951171875,2825.449951171875,2826.06005859375,2762.860107421875,2764.60009765625,0.0,
2004-08-31,2850.679931640625,2850.679931640625,2864.260009765625,2847.64990234375,2851.25,0.0,
2004-09-30,3278.800048828125,3278.800048828125,3294.389892578125,3222.610107421875,3222.68994140625,0.0,
2004-10-31,3545.3701171875,3545.3701171875,3554.110107421875,3509.300048828125,3509.300048828125,0.0,
2004-11-30,3616.719970703125,3616.719970703125,3641.010009765625,3610.72998046875,3637.5400390625,0.0,
2004-12-31,3710.389892578125,3710.389892578125,3713.239990234375,3646.780029296875,3647.590087890625,0.0,
2005-01-31,3882.89990234375,3882.89990234375,3896.159912109375,3882.89990234375,3887.64990234375,0.0,
2005-02-28,4078.260009765625,4078.260009765625,4087.10009765625,4051.429931640625,4051.429931640625,0.0,
2005-03-31,4159.85009765625,4159.85009765625,4173.509765625,4154.18994140625,4155.97021484375,0.0,
2005-04-30,3986.2900390625,3986.2900390625,4000.909912109375,3978.3701171875,3993.639892578125,0.0,
2005-05-31,3925.340087890625,3925.340087890625,3935.159912109375,3902.510009765625,3906.419921875,0.0,
2005-06-30,4038.070068359375,4038.070068359375,4051.219970703125,4026.669921875,4042.780029296875,0.0,
2005-07-31,4210.830078125,4210.830078125,4213.4599609375,4196.25,4204.93017578125,0.0,
2005-08-31,4611.759765625,4611.759765625,4612.22998046875,4584.7001953125,4589.4501953125,0.0,
2005-09-30,5070.830078125,5070.830078125,5070.85986328125,5036.240234375,5036.240234375,0.0,
2005-10-31,4764.35009765625,4764.35009765625,4785.8701171875,4738.4501953125,4785.8701171875,0.0,
2005-11-30,5034.2998046875,5034.2998046875,5061.97021484375,5031.08984375,5050.91015625,0.0,
2005-12-31,4802.25,4802.25,4838.8798828125,4799.5,4823.39013671875,0.0,
2006-01-31,5633.509765625,5633.509765625,5792.68017578125,5498.56982421875,5673.5,0.0,
2006-02-28,6080.68017578125,6080.68017578125,6122.22021484375,6076.509765625,6107.3701171875,0.0,
2006-03-31,5920.5,5920.5,5958.81982421875,5913.5400390625,5950.52001953125,0.0,
2006-04-30,7142.919921875,7142.919921875,7157.06005859375,6970.06982421875,6970.06982421875,0.0,
2006-05-31,7211.669921875,7211.669921875,7318.35009765625,7211.669921875,7306.89013671875,0.0,
